timestamp | user | access_count | hour | location | ip_address
2026-01-07 22:47:54 | admin_kimani | 8 | 10 | Nairobi, KE | 197.156.54.119
2026-01-07 16:47:54 | nurse_wanjiru | 10 | 14 | Nairobi, KE | 197.156.18.68
2026-01-07 20:47:54 | dr_kamau | 14 | 15 | Nairobi, KE | 197.156.111.136
2026-01-07 05:47:54 | dr_kamau | 26 | 8 | Nairobi, KE | 197.156.251.160
2026-01-07 14:47:54 | receptionist_otieno | 14 | 9 | Nairobi, KE | 197.156.251.160
2026-01-07 01:47:54 | dr_kamau | 28 | 3 | Moscow, RU | 195.88.54.23
2026-01-07 06:47:54 | receptionist_otieno | 463 | 2 | Lagos, NG | 41.203.12.45
2026-01-07 02:47:54 | admin_kimani | 7 | 15 | Nairobi, KE | 197.156.211.230
2026-01-07 16:47:54 | admin_kimani | 7 | 16 | Nairobi, KE | 197.156.237.110
2026-01-07 05:47:54 | dr_kamau | 28 | 3 | Moscow, RU | 195.88.54.23
2026-01-07 20:47:54 | nurse_wanjiru | 18 | 10 | Nairobi, KE | 197.156.99.16
2026-01-07 00:47:54 | nurse_wanjiru | 15 | 13 | Nairobi, KE | 197.156.211.230
2026-01-07 23:47:54 | receptionist_otieno | 11 | 11 | Nairobi, KE | 197.156.28.231
2026-01-07 15:47:54 | admin_kimani | 5 | 14 | Nairobi, KE | 197.156.28.231
2026-01-07 21:47:54 | nurse_wanjiru | 12 | 11 | Nairobi, KE | 197.156.145.54
2026-01-07 20:47:54 | receptionist_otieno | 13 | 12 | Nairobi, KE | 197.156.82.166
2026-01-07 05:47:54 | admin_kimani | 11 | 11 | Nairobi, KE | 197.156.73.65
2026-01-07 04:47:54 | admin_kimani | 8 | 13 | Nairobi, KE | 197.156.18.68
2026-01-07 05:47:54 | admin_kimani | 6 | 17 | Nairobi, KE | 197.156.18.68
2026-01-07 17:47:54 | dr_kamau | 28 | 3 | Moscow, RU | 195.88.54.23
2026-01-07 11:47:54 | receptionist_otieno | 10 | 14 | Nairobi, KE | 197.156.224.7
2026-01-07 23:47:54 | receptionist_otieno | 463 | 2 | Lagos, NG | 41.203.12.45
2026-01-07 17:47:54 | admin_kimani | 10 | 16 | Nairobi, KE | 197.156.215.59
2026-01-07 19:47:54 | nurse_wanjiru | 18 | 8 | Nairobi, KE | 197.156.31.49
2026-01-07 12:47:54 | dr_kamau | 26 | 17 | Nairobi, KE | 197.156.73.65
2026-01-07 15:47:54 | receptionist_otieno | 463 | 2 | Lagos, NG | 41.203.12.45
2026-01-07 07:47:54 | dr_kamau | 28 | 11 | Nairobi, KE | 197.156.28.231
2026-01-07 00:47:54 | nurse_wanjiru | 11 | 8 | Nairobi, KE | 197.156.211.230
2026-01-07 13:47:54 | dr_kamau | 28 | 3 | Moscow, RU | 195.88.54.23
2026-01-07 10:47:54 | dr_kamau | 22 | 11 | Nairobi, KE | 197.156.126.46
2026-01-07 11:47:54 | dr_kamau | 27 | 15 | Nairobi, KE | 197.156.73.65
2026-01-07 07:47:54 | receptionist_otieno | 12 | 16 | Nairobi, KE | 197.156.82.166
2026-01-07 09:47:54 | receptionist_otieno | 463 | 2 | Lagos, NG | 41.203.12.45
2026-01-07 20:47:54 | dr_kamau | 23 | 15 | Nairobi, KE | 197.156.82.166
2026-01-07 01:47:54 | admin_kimani | 7 | 9 | Nairobi, KE | 197.156.54.119
2026-01-07 06:47:54 | nurse_wanjiru | 14 | 10 | Nairobi, KE | 197.156.111.136
2026-01-07 08:47:54 | admin_kimani | 11 | 10 | Nairobi, KE | 197.156.211.152
2026-01-07 20:47:54 | receptionist_otieno | 463 | 2 | Lagos, NG | 41.203.12.45
2026-01-07 00:47:54 | admin_kimani | 7 | 15 | Nairobi, KE | 197.156.111.136
2026-01-07 14:47:54 | nurse_wanjiru | 151 | 23 | Nairobi, KE | 197.156.99.16
2026-01-07 13:47:54 | receptionist_otieno | 15 | 14 | Nairobi, KE | 197.156.133.140
2026-01-07 10:47:54 | receptionist_otieno | 9 | 13 | Nairobi, KE | 197.156.73.65
2026-01-07 22:47:54 | dr_kamau | 24 | 14 | Nairobi, KE | 197.156.97.176
2026-01-07 10:47:54 | receptionist_otieno | 11 | 8 | Nairobi, KE | 197.156.211.152
2026-01-07 19:47:54 | dr_kamau | 23 | 9 | Nairobi, KE | 197.156.18.68
2026-01-07 14:47:54 | dr_kamau | 20 | 8 | Nairobi, KE | 197.156.211.152
2026-01-07 07:47:54 | nurse_wanjiru | 14 | 7 | Nairobi, KE | 197.156.211.152
2026-01-07 14:47:54 | nurse_wanjiru | 11 | 14 | Nairobi, KE | 197.156.54.119
2026-01-07 16:47:54 | nurse_wanjiru | 18 | 12 | Nairobi, KE | 197.156.211.230
2026-01-07 10:47:54 | nurse_wanjiru | 14 | 8 | Nairobi, KE | 197.156.126.46
